species,matched_name,order,longevity_maxrecorded,clutchsize_min,clutchsize_max,clutchsize_mean.usual,X.maxsuccesful._clutches_per_year,firstbreeding_minmonths,firstbreeding_maxmonths,firstbreeding_meanmonths
Accipiter gentilis,Accipiter gentilis,Accipitriformes,19,1,5,NA,1,12,36,NA
Accipiter nisus,Accipiter nisus,Accipitriformes,15,1,7,NA,NA,12,36,NA
Accipiter soloensis,Accipiter soloensis,Accipitriformes,NA,2,5,NA,NA,NA,NA,NA
Accipiter virgatus,Accipiter virgatus,Accipitriformes,NA,2,5,NA,NA,NA,NA,NA
Acridotheres cristatellus,Acridotheres cristatellus,Passeriformes,NA,4,7,4,2,NA,NA,NA
Acridotheres tristis,Acridotheres tristis,Passeriformes,NA,4,5,NA,3,NA,NA,NA
Acryllium vulturinum,Acryllium vulturinum,Galliformes,NA,4,15,NA,NA,NA,NA,NA
Aegithalos bonvaloti,Aegithalos bonvaloti,Passeriformes,NA,4,5,NA,NA,NA,NA,NA
Aegithalos caudatus,Aegithalos caudatus,Passeriformes,NA,6,15,NA,1,NA,NA,NA
Aegithalos concinnus,Aegithalos concinnus,Passeriformes,NA,3,8,NA,1,NA,NA,NA
Aegithalos fuliginosus,Aegithalos fuliginosus,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Aegypius monachus,Aegypius monachus,Accipitriformes,39,NA,2,1,NA,NA,NA,NA
Agapornis roseicollis,Agapornis roseicollis,Psittaciformes,NA,4,6,NA,NA,NA,NA,NA
Molothrus badius,Agelaioides badius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysomus cyanopus,Agelasticus cyanopus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysomus xanthophthalmus,Agelasticus xanthophthalmus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aix galericulata,Aix galericulata,Anseriformes,15,7,14,NA,NA,NA,NA,NA
Hemignathus stejnegeri,Akialoa stejnegeri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alauda arvensis,Alauda arvensis,Alauda arvensis,10,1,7,NA,5,NA,NA,12
Amaurornis phoenicurus,Amaurornis phoenicurus,Gruiformes,NA,4,9,NA,NA,NA,NA,NA
Amazilia versicolor,Amazilia versicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amazona barbadensis,Amazona barbadensis,Psittaciformes,NA,1,6,NA,NA,NA,NA,NA
