species,Tips,matched_name
Accipiter gentilis,Accipiter_gentilis_NC011818,Accipiter gentilis
Accipiter nisus,Accipiter_nisus_NC025580,Accipiter nisus
Accipiter soloensis,Accipiter_soloensis_KJ680303,Accipiter soloensis
Accipiter virgatus,Accipiter_virgatus_KP336714,Accipiter virgatus
Aceros corrugatus,Aceros_corrugatus_HM755883,Rhabdotorrhinus corrugatus
Aceros waldeni,Aceros_waldenii_HQ834450,Rhabdotorrhinus waldeni
Acridotheres cristatellus,Acridotheres_cristatellus_NC015613,Acridotheres cristatellus
Acridotheres tristis,Acridotheres_tristis_NC_015195,Acridotheres tristis
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_NC010227,Acrocephalus scirpaceus
Acryllium vulturinum,Acryllium_vulturinum_NC014180,Acryllium vulturinum
Aegithalos bonvaloti,Aegithalos_bonvaloti_KF951087,Aegithalos bonvaloti
Aegithalos caudatus,Aegithalos_caudatus_KF951088,Aegithalos caudatus
Aegithalos concinnus,Aegithalos_concinnus_KF951091,Aegithalos concinnus
Aegithalos fuliginosus,Aegithalos_fuliginosus_KF951086,Aegithalos fuliginosus
Aegithalos glaucogularis,Aegithalos_glaucogularis_KF951089,Aegithalos glaucogularis
Aegithalos talifuensis,Aegithalos_talifuensis_KF951092,Aegithalos concinnus
Aegithalos vinaceus,Aegithalos_vinaceus_KF951090,Aegithalos glaucogularis
Aegypius monachus,Aegypius_monachus_NC022957,Aegypius monachus
Agapornis roseicollis,Agapornis_roseicollis_NC011708,Agapornis roseicollis
Agelaius phoeniceus,Agelaius_phoeniceus_NC018801,Agelaius phoeniceus
Aix galericulata,Aix_galericulata_NC023969,Aix galericulata
Alauda arvensis,Alauda_arvensis_JQ322641,Alauda arvensis
Alectoris chukar,Alectoris_chukar_NC020585,Alectoris chukar
Alectura lathami,Alectura_lathami_NC007227,Alectura lathami
Amaurornis phoenicurus,Amaurornis_phoenicurus_NC024593,Amaurornis phoenicurus
Amazilia versicolor,Amazilia_versicolor_NC024156,Amazilia versicolor
Amazona barbadensis,Amazona_barbadensis_JX524615,Amazona barbadensis
Amblyramphus holosericeus,Amblyramphus_holosericeus_NC018802,Amblyramphus holosericeus
Anas acuta,Anas_acuta_NC024631,Anas acuta
Anas chathamica,Anas_chathamica_KF562761,Anas chathamica
Anas crecca,Anas_crecca_NC022452,Anas crecca
Anas falcata,Anas_falcata_NC023352,Anas falcata
Anas formosa,Anas_formosa_NC015482,Anas formosa
Anas platyrhynchos,Anas_platyrhynchos_NC009684,Anas platyrhynchos
Anas poecilorhyncha,Anas_poecilorhyncha_NC022418,Anas poecilorhyncha
Anhinga rufa,Anhinga_rufa_NC014681,Anhinga rufa
Anomalopteryx didiformis,Anomalopteryx_didiformis_NC002779,Anomalopteryx didiformis
Anser albifrons,Anser_albifrons_NC004539,Anser albifrons
Anser anser,Anser_anser_NC011196,Anser anser
Anser cygnoides,Anser_cygnoides_NC023832,Anser cygnoides
Anser indicus,Anser_indicus_NC025654,Anser indicus
Apteryx haastii,Apteryx_hastii_NC002782,Apteryx haastii
Apteryx mantelli,Apteryx_mantelli_AY016010,Apteryx mantelli
Apteryx owenii,Apteryx_owenii_NC013806,Apteryx owenii
Apus apus,Apus_apus_NC008540,Apus apus
Aquila chrysaetos,Aquila_chrysaetos_NC024087,Aquila chrysaetos
Ara glaucogularis,Ara_glaucogularis_NC026029,Ara glaucogularis
Aratinga acuticauda,Aratinga_acuticauda_JQ782214,NA
Aratinga brevipes,Aratinga_brevipes_NC021764,Psittacara brevipes
Aratinga pertinax,Aratinga_pertinax_NC015197,Eupsittula pertinax
Arborophila ardens,Arborophila_ardens_NC022683,Arborophila ardens
Arborophila brunneopectus,Arborophila_brunneopectus_NC022684,Arborophila brunneopectus
Arborophila gingica,Arborophila_gingica_FJ752425,Arborophila gingica
Arborophila rufipectus,Arborophila_rufipectus_NC012483,Arborophila rufipectus
Arborophila rufogularis,Arborophila_rufogularis_FJ752424,Arborophila rufogularis
Archilochus colubris,Archilocus_colubris_NC010094,Archilochus colubris
Ardea cinerea,Ardea_cinerea_NC025900,Ardea cinerea
Ardea intermedia,Ardea_intermedia_NC025918,Ardea intermedia
Ardea modesta,Ardea_modesta_NC025916,Ardea alba
Ardea novaehollandiae,Ardea_novaehollandiae_NC008551,Egretta novaehollandiae
Ardea purpurea,Ardea_purpurea_NC025919,Ardea purpurea
Ardeola bacchus,Ardeola_bacchus_NC025921,Ardeola bacchus
