Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Acanthisitta_chloris_AY325307,Acanthisitta chloris,Acanthisitta chloris,6.525,6,273.75,4,1.5,6
Accipiter_gentilis_NC011818,Accipiter gentilis,Accipiter gentilis,988.75,22,636.835,3.5,1,3.5
Accipiter_nisus_NC025580,Accipiter nisus,Accipiter nisus,212,20.25,365,4.75,1,4.75
Accipiter_soloensis_KJ680303,Accipiter soloensis,Accipiter soloensis,161,NA,726.936,3.5,NA,NA
Accipiter_virgatus_KP336714,Accipiter virgatus,Accipiter virgatus,113.5,NA,NA,3.5,NA,NA
Aceros_corrugatus_HM755883,Aceros corrugatus,Rhabdotorrhinus corrugatus,1590,NA,NA,2.4,1,2.4
Aceros_waldenii_HQ834450,Aceros waldeni,Rhabdotorrhinus waldeni,1081,NA,NA,2.4,NA,NA
Acridotheres_cristatellus_NC015613,Acridotheres cristatellus,Acridotheres cristatellus,116.5,13,NA,4.25,1,4.25
Acridotheres_tristis_NC_015195,Acridotheres tristis,Acridotheres tristis,113.5,6.083333333,363.468,4.5,3,13.5
Acrocephalus_scirpaceus_NC010227,Acrocephalus scirpaceus,Acrocephalus scirpaceus,11.8,14,364.234,3.9,1.5,5.85
Acryllium_vulturinum_NC014180,Acryllium vulturinum,Acryllium vulturinum,1333.875,NA,NA,10,NA,NA
Aegithalos_bonvaloti_KF951087,Aegithalos bonvaloti,Aegithalos bonvaloti,7.25,NA,NA,4.5,NA,NA
Aegithalos_caudatus_KF951088,Aegithalos caudatus,Aegithalos caudatus,8.6,11.1,365,9.9,1,9.9
Aegithalos_concinnus_KF951091,Aegithalos concinnus,Aegithalos concinnus,6.25,NA,NA,4.2,1,4.2
Aegithalos_fuliginosus_KF951086,Aegithalos fuliginosus,Aegithalos fuliginosus,7,NA,NA,NA,NA,NA
Aegithalos_glaucogularis_KF951089,Aegithalos glaucogularis,Aegithalos glaucogularis,8.6,11.1,365,9.9,1,9.9
Aegithalos_talifuensis_KF951092,Aegithalos talifuensis,Aegithalos concinnus,6.25,NA,NA,4.2,1,4.2
Aegithalos_vinaceus_KF951090,Aegithalos vinaceus,Aegithalos glaucogularis,8.6,11.1,365,9.9,1,9.9
Aegotheles_cristatus_NC011718,Aegotheles cristatus,Aegotheles cristatus,44.125,NA,NA,3.265,1,3.265
Aegypius_monachus_NC022957,Aegypius monachus,Aegypius monachus,9625,39,1999.074,1,1,1
Agapornis_roseicollis_NC011708,Agapornis roseicollis,Agapornis roseicollis,54.25,16.3,363.468,5,NA,NA
Agelaius_phoeniceus_NC018801,Agelaius phoeniceus,Agelaius phoeniceus,54,20,547.75,3.3,2,6.6
Aix_galericulata_NC023969,Aix galericulata,Aix galericulata,560,15,363.468,10.5,1,10.5
Alauda_arvensis_JQ322641,Alauda arvensis,Alauda arvensis,37.5,10.1,364.234,3.43,2,6.86
Alectoris_chukar_NC020585,Alectoris chukar,Alectoris chukar,535.5,6.2,363.468,11.25,1.499635999,16.87090499
Alectura_lathami_NC007227,Alectura lathami,Alectura lathami,2330,12.5,NA,14.78,21,310.38
Amaurornis_phoenicurus_NC024593,Amaurornis phoenicurus,Amaurornis phoenicurus,215.5,NA,NA,6.75,NA,NA
Amazilia_versicolor_NC024156,Amazilia versicolor,Amazilia versicolor,4.1,8.65,NA,2,NA,NA
Amazona_barbadensis_JX524615,Amazona barbadensis,Amazona barbadensis,236.55,29,NA,3.1,NA,NA
Amblyramphus_holosericeus_NC018802,Amblyramphus holosericeus,Amblyramphus holosericeus,53.8,NA,NA,3.5,NA,NA
Anas_acuta_NC024631,Anas acuta,Anas acuta,872.25,27.417,240,7.7,1,7.7
Anas_chathamica_KF562761,Anas chathamica,Anas chathamica,NA,NA,NA,NA,NA,NA
Anas_crecca_NC022452,Anas crecca,Anas crecca,343.8,27.1,271.734,9.5,1,9.5
