matched_name,species,X,Tips,Order,Familly,Genus,Mass,Longevity_Species,SexMatF_Species
Accipiter gentilis,Accipiter gentilis,,Accipiter_gentilis_NC011818,Accipitriformes,Accipitridae,Accipiter,1024.5,22,365
Accipiter nisus,Accipiter nisus,,Accipiter_nisus_NC025580,Accipitriformes,Accipitridae,Accipiter,237.5,20.2,365
Accipiter soloensis,Accipiter soloensis,,Accipiter_soloensis_KJ680303,Accipitriformes,Accipitridae,Accipiter,165.5,NA,NA
Accipiter virgatus,Accipiter virgatus,,Accipiter_virgatus_KP336714,Accipitriformes,Accipitridae,Accipiter,121.5,NA,NA
Acridotheres cristatellus,Acridotheres cristatellus,,Acridotheres_cristatellus_NC015613,Passeriformes,Sturnidae,Acridotheres,110,13,NA
Acridotheres tristis,Acridotheres tristis,,Acridotheres_tristis_NC_015195,Passeriformes,Sturnidae,Acridotheres,116,NA,NA
Acryllium vulturinum,Acryllium vulturinum,,Acryllium_vulturinum_NC014180,Galliformes,Numididae,Acryllium,1330,NA,NA
Aegithalos bonvaloti,Aegithalos bonvaloti,,Aegithalos_bonvaloti_KF951087,Passeriformes,Aegithalidae,Aegithalos,NA,NA,NA
Aegithalos caudatus,Aegithalos caudatus,,Aegithalos_caudatus_KF951088,Passeriformes,Aegithalidae,Aegithalos,8.6,11.1,365
Aegithalos fuliginosus,Aegithalos fuliginosus,,Aegithalos_fuliginosus_KF951086,Passeriformes,Aegithalidae,Aegithalos,6,NA,NA
Aegithalos glaucogularis,Aegithalos glaucogularis,,Aegithalos_glaucogularis_KF951089,Passeriformes,Aegithalidae,Aegithalos,NA,NA,NA
Aegypius monachus,Aegypius monachus,,Aegypius_monachus_NC022957,Accipitriformes,,Aegypius,9625,39,NA
Agapornis roseicollis,Agapornis roseicollis,,Agapornis_roseicollis_NC011708,Psittaciformes,,Agapornis,54.5,16.3,150
Agelaioides badius,Molothrus badius,,Molothrus_badius_NC018811,Passeriformes,Icteridae,Molothrus,45.3,16.9,365
Agelasticus cyanopus,Chrysomus cyanopus,,Chrysomus_cyanopus_NC018813,Galliformes,,Chrysomus,37.6,NA,NA
Agelasticus xanthophthalmus,Chrysomus xanthophthalmus,,Chrysomus_xanthophthalmus_NC018798,Galliformes,,Chrysomus,45.1,NA,NA
Aix galericulata,Aix galericulata,,Aix_galericulata_NC023969,Anseriformes,,Aix,570,10.4,365
Akialoa stejnegeri,Hemignathus stejnegeri,,Hemignathus_stejnegeri,Passeriformes,,Hemignathus,NA,NA,NA
Alauda arvensis,Alauda arvensis,,Alauda_arvensis_JQ322641,Passeriformes,Alaudidae,Alauda,39.95,10.1,365
Amaurornis phoenicurus,Amaurornis phoenicurus,,Amaurornis_phoenicurus_NC024593,Gruiformes,Rallidae,Amaurornis,180,NA,NA
Amazilia versicolor,Amazilia versicolor,,Amazilia_versicolor_NC024156,Psittaciformes,,Amazilia,4.65,8.65,NA
Amazona barbadensis,Amazona barbadensis,,Amazona_barbadensis_JX524615,Psittaciformes,,Amazona,270,29,NA
Amblyramphus holosericeus,Amblyramphus holosericeus,,Amblyramphus_holosericeus_NC018802,Passeriformes,Icteridae,Amblyramphus,63.7,NA,NA
Anas platyrhynchos,Anas platyrhynchos,,Anas_platyrhynchos_NC009684,Anseriformes,,Anas,1082,29.1,365
Anas poecilorhyncha,Anas poecilorhyncha,,Anas_poecilorhyncha_NC022418,Anseriformes,,Anas,1010.5,NA,NA
Anhinga rufa,Anhinga rufa,,Anhinga_rufa_NC014681,Suliformes,Anhingidae,Anhinga,1315.75,16.2,730
Anomalopteryx didiformis,Anomalopteryx didiformis,,Anomalopteryx_didiformis_NC002779,Dinornithiformes,Dinornithidae,Anomalopteryx,NA,NA,NA
Anser cygnoides,Anser cygnoides,,Anser_cygnoides_NC023832,Anseriformes,,Anser,3512.5,NA,NA
Anser indicus,Anser indicus,,Anser_indicus_NC025654,Anseriformes,,Anser,2225,NA,NA
Antigone antigone,Grus antigone,,Grus_antigone_NC021581,Gruiformes,,Grus,5958.5,41.8,NA
Antigone rubicunda,Grus rubicunda,,Grus_rubicunda_NC020580,Gruiformes,,Grus,6250.5,33,NA
Aphrodroma brevirostris,Pterodroma brevirostris,,Pterodroma_brevirostris_NC007174,Procellariformes,,Pterodroma,357,16.55,NA
Apteryx haastii,Apteryx haastii,,Apteryx_hastii_NC002782,Apterygiformes,,Apteryx,1692,35,NA
Apteryx owenii,Apteryx owenii,,Apteryx_owenii_NC013806,Apterygiformes,,Apteryx,1243,35,NA
Ara glaucogularis,Ara glaucogularis,,Ara_glaucogularis_NC026029,Psittaciformes,,Ara,784,22,NA
Aratinga brevipes,Aratinga brevipes,,Aratinga_brevipes_NC021764,Psittaciformes,,Aratinga,177,21.8,NA
Arborophila ardens,Arborophila ardens,,Arborophila_ardens_NC022683,Galliformes,,Arborophila,268.5,NA,NA
Arborophila brunneopectus,Arborophila brunneopectus,,Arborophila_brunneopectus_NC022684,Galliformes,,Arborophila,292.5,NA,NA
Arborophila gingica,Arborophila gingica,,Arborophila_gingica_FJ752425,Galliformes,,Arborophila,253,NA,NA
Arborophila rufogularis,Arborophila rufogularis,,Arborophila_rufogularis_FJ752424,Galliformes,,Arborophila,350.5,NA,NA
Archilochus colubris,Archilochus colubris,,Archilocus_colubris_NC010094,Apodiformes,,Archilochus,3.1,9.1,365
Ardea cinerea,Ardea cinerea,,Ardea_cinerea_NC025900,Pelecaniformes,,Ardea,1443,37.5,730
Ardea intermedia,Ardea intermedia,,Ardea_intermedia_NC025918,Pelecaniformes,,Ardea,462,NA,NA
Ardea modesta,Ardea modesta,,Ardea_modesta_NC025916,Pelecaniformes,,Ardea,NA,NA,NA
Ardea purpurea,Ardea purpurea,,Ardea_purpurea_NC025919,Pelecaniformes,,Ardea,873.75,25.4,730
Ardeola bacchus,Ardeola bacchus,,Ardeola_bacchus_NC025921,Pelecaniformes,,Ardeola,306,NA,NA
Arenaria interpres,Arenaria interpres,,Arenaria_interpres_NC003712,Charadriiformes,,Arenaria,136,22.3,730
Athene brama,Athene brama,,NA,NA,NA,NA,NA,NA,NA
Attagis gayi,Attagis gayi,,Attagis_gayi,Charadriiformes,,Attagis,311,NA,NA
Aythya americana,Aythya americana,,Aythya_americana_NC000877,Anseriformes,,Aythya,1076.5,22.6,365
Aythya ferina,Aythya ferina,,Aythya_ferina_NC024602,Anseriformes,,Aythya,823,23.2,365
Balaeniceps rex,Balaeniceps rex,,Balaeniceps_rex_GU071053,Pelecaniformes,,Balaeniceps,5984,35.7,NA
Balearica pavonina,Balearica pavonina,,Balearica_pavonina_NC020570,Gruiformes,,Balearica,3590,NA,NA
Balearica regulorum,Balearica regulorum,,Balearica_regulorum_NC020569,Gruiformes,,Balearica,3772,27.2,1095
