spp1,spp2,outgroup,sp1_ds,sp2_ds,sp1_dn,sp2_dn,sp1_w,sp2_w,ds_diff,dn_diff,w_diff,longevity_sp1,longevity_sp2
Buteo_burmanicus_KM364882,Accipiter_nisus_NC025580,Aquila_chrysaetos_NC024087,0.512706,1.035623,0.011353,0.026926,0.0221424,0.0260002,-0.522917,-0.015573,-0.0038578,28.8,20.25
Branta_canadensis_NC007011,Anser_albifrons_NC004539,Aix_galericulata_NC023969,0.183999,0.343529,0.006369,0.005455,0.006369,0.005455,-0.15953,0.000914,0.000914,42,47
Amazilia_versicolor_NC024156,Archilocus_colubris_NC010094,Calyptorhynchus_lathami_NC020593,0.690308,0.376346,0.011548,0.010923,0.0167294,0.0290247,0.313962,0.000625,-0.0122953,8.65,9.1
Nymphicus_hollandicus_HM640215,Calyptorhynchus_baudinii_NC020594,Amazona_barbadensis_JX524615,0.648925,0.658061,0.017739,0.020992,0.0273358,0.0318994,-0.009136,-0.003253,-0.0045636,36,47
Dromaius_novaehollandiae_NC002784,Casuarius_casuarius_NC002778,Pterocnemia_pennata_NC002783,0.400764,0.504078,0.00768,0.006024,0.0191623,0.0119513,-0.103314,0.001656,0.007211,16.6,30
Nucifraga_columbiana_NC022839,Corvus_hawaiiensis_NC_026783,Eopsaltria_australis_NC019665,0.429889,0.380467,0.010424,0.012222,0.0242484,0.0321243,0.049422,-0.001798,-0.0078759,17.41667,25
Pygoscelis_adeliae_GQ925791,Eudyptula_minor_NC004538,Botaurus_stellaris_NC025923,0.412038,0.603367,0.010936,0.018031,0.0265409,0.0298846,-0.191329,-0.007095,-0.0033437,18,25
Turdus_migratorius,Ficedula_albicollis_NC021621,Acridotheres_cristatellus_NC015613,0.808746,0.638578,0.018425,0.012066,0.022782,0.0188957,0.170168,0.006359,0.0038863,17,9.833333
Fulica_atra_NC025500,Gallinula_chloropus_NC015236,Eulabeornis_castaneoventris_NC025501,0.407593,0.27862,0.006249,0.012379,0.0153306,0.0444295,0.128973,-0.00613,-0.0290989,32.3,18.6
Balearica_regulorum_NC020569,Grus_paradisea_FJ769844,Amaurornis_phoenicurus_NC024593,0.509061,0.304667,0.01453,0.00859,0.0285427,0.028194,0.204394,0.00594,0.0003487,27.2,25
Ceryle_rudis_NC024280,Halcyon_sancta_NC011712,Dryocopus_pileatus_NC008546,0.855627,0.714125,0.023977,0.01901,0.0280228,0.0266197,0.141502,0.004967,0.0014031,5,8.083333
Haematopus_ater_NC003713,Himantopus_mexicanus,Chionis_minor,0.391986,0.463406,0.014957,0.011269,0.0381575,0.0243184,-0.07142,0.003688,0.0138391,17,19.1
Cecropis_daurica_NC_024107,Hirundo_rustica_KP148840,Progne_chalybea_NC020605,0.53721,0.239489,0.01275,0.007428,0.0237342,0.0310142,0.297721,0.005322,-0.00728,9,16
Botaurus_stellaris_NC025923,Ixobrychus_eurhythmus_NC025924,Nycticorax_nycticorax_NC015807,0.567779,0.486082,0.014422,0.011511,0.0254006,0.0236813,0.081697,0.002911,0.0017193,11.33333,6.9
Rissa_tridactyla,Larus_dominicanus_NC007006,Rhynchops_niger,0.161593,0.196851,0.006732,0.004899,0.0416615,0.0248883,-0.035258,0.001833,0.0167732,28.5,31.85
Chrysolophus_amherstiae_NC014576,Phasianus_colchicus_NC015526,Bonasia_bonasia_NC020591,0.354754,0.244023,0.006705,0.010186,0.0189017,0.0417432,0.110731,-0.003481,-0.0228415,19.6,27
Diomedea_chrysostoma_AP009193,Phoebastria_nigripes_NC026188,Procellaria_cinerea_AP009191,0.330562,0.383718,0.012204,0.009339,0.03692,0.0243392,-0.053156,0.002865,0.0125808,47.2,42.1
Nipponia_nippon_NC008132,Platalea_leucorodia_NC012772,Botaurus_stellaris_NC025923,0.472418,0.572252,0.010034,0.008909,0.0212392,0.0155682,-0.099834,0.001125,0.005671,36,30.1
Ara_glaucogularis_NC026029,Primolius_couloni_NC025742,Amazona_barbadensis_JX524615,0.214739,0.311966,0.010127,0.012053,0.0471596,0.0386369,-0.097227,-0.001926,0.0085227,22,31
